id,name,aadhaar,bank_account,bank_name,address,district,scheme,amount,dob,mobile,registration_date
161,Kiran Das,862703692492,69326573275,UCO Bank,"House 956, Model Town, Sonitpur",Sonitpur,MGNREGA,10347.9,1998-01-31,9111000515,2023-09-08
162,Kavita Rani,821477092071,15238023621,UCO Bank,"House 743, Bapunagar, Nagaon",Nagaon,Ayushman Bharat,12691.26,1969-08-14,9818970591,2023-04-03
163,Deepak Mukherjee,814353682223,94312908781,Punjab National Bank,"House 688, Rampur, Varanasi",Varanasi,PMKVY Skill Dev,11008.25,1983-07-17,9975523149,2025-04-18
164,Prakash Roy,388523774877,00788125325,State Bank of India,"House 161, Rampur, Kanpur",Kanpur,PM Awas Yojana,142528.93,1919-12-27,9808226799,2025-05-07
165,Rajan Roy,662080820391,70263444359,Canara Bank,"House 646, Bapunagar, Darrang",Darrang,PM-KISAN,2735.52,1978-07-19,9587012042,2024-01-06
166,Priya Rani,321244029363,16184959310,Punjab National Bank,"House 660, Model Town, Goalpara",Goalpara,PM-KISAN,5177.2,1999-04-10,9941218052,2023-09-14
167,Meera Gupta,500292185156,91545226752,UCO Bank,"House 711, Nehru Vihar, Kanpur",Kanpur,MGNREGA,12443.9,1981-03-22,9926442209,2023-06-29
168,Sunita Verma,547734943148,72255785641,Bank of Baroda,"House 351, Shantinagar, Lucknow",Lucknow,PM-KISAN,4592.63,1957-06-27,9416855739,2021-12-15
169,Dinesh Mishra,640412091179,11244211753,Canara Bank,"House 104, Gandhi Nagar, Lakhimpur",Lakhimpur,PMKVY Skill Dev,17545.3,1964-02-18,9171366572,2024-09-04
170,Kavita Mukherjee,474570545897,14802632570,Bank of Baroda,"House 592, Bapunagar, Dhubri",Dhubri,NSP Scholarship,9262.25,1962-08-11,9531361487,2022-09-24
171,Kavita Reddy,826204505331,58692322602,Punjab National Bank,"House 802, Gandhi Nagar, Barpeta",Barpeta,NSAP Pension,5169.39,1978-12-27,9421607337,2023-09-22
172,Prakash Patel,160943913681,72031369552,UCO Bank,"House 795, Gandhi Nagar, Dhubri",Dhubri,NSP Scholarship,4584.09,1998-11-06,9929735259,2023-09-17
173,Prakash Reddy,120381876920,82832308981,Bank of Baroda,"House 552, Nehru Vihar, Sonitpur",Sonitpur,PM-KISAN,2334.27,1992-11-09,9445822067,2024-07-14
174,Pushpa Mishra,870051627136,11155426221,UCO Bank,"House 577, Rampur, Kamrup",Kamrup,MGNREGA,10323.83,1986-07-12,9753269731,2025-02-14
175,Vinod Mishra,345573562327,11615594078,Canara Bank,"House 660, Bapunagar, Nagaon",Nagaon,NSP Scholarship,9903.93,1996-03-26,9453585973,2025-05-06
176,Mangala Das,155810835832,86342556383,State Bank of India,"House 37, Model Town, Allahabad",Allahabad,PM-KISAN,2080.11,1992-01-20,9867024403,2022-02-22
177,Geeta Sharma,018780358690,17074039251,UCO Bank,"House 995, Nehru Vihar, Kamrup",Kamrup,MGNREGA,10407.01,1969-05-28,9295171222,2022-12-04
178,Saroj Devi,104332181960,79402654235,Bank of Baroda,"Plot No.1, Near Bus Stand, Main Road, Lucknow",Gorakhpur,Ayushman Bharat,49853.57,1984-07-03,9156038710,2022-10-06
179,Santosh Sharma,430491341038,97528720998,Canara Bank,"House 660, Shantinagar, Darrang",Darrang,PMKVY Skill Dev,17993.88,1966-10-28,9422405920,2022-10-11
180,Kavita Jha,798066039205,14607455534,Canara Bank,"House 803, Rampur, Allahabad",Allahabad,PM-KISAN,3298.05,1977-08-22,9238856527,2025-03-09
181,Lalita Yadav,440793110291,81331708760,State Bank of India,"House 308, Gandhi Nagar, Lakhimpur",Lakhimpur,NSP Scholarship,7353.48,1984-09-27,9384979162,2022-02-13
182,Dinesh Mukherjee,781794151526,38409112252,UCO Bank,"House 835, Bapunagar, Gorakhpur",Gorakhpur,NSAP Pension,4046.2,1958-04-22,9505661863,2024-09-29
183,Dinesh Mishra,561526655914,76253809664,State Bank of India,"House 273, Gandhi Nagar, Varanasi",Varanasi,Ayushman Bharat,40224.03,1968-02-08,9336952474,2021-05-25
184,Kiran Patel,025853465815,39885217895,Punjab National Bank,"House 898, Nehru Vihar, Kamrup",Kamrup,PMKVY Skill Dev,17680.77,1996-01-22,9984128655,2022-10-11
185,Suresh Jha,378159157908,94589626838,Punjab National Bank,"House 564, Nehru Vihar, Varanasi",Varanasi,NSP Scholarship,6989.64,1982-10-29,9802076123,2022-05-11
186,Vinod Roy,947055169409,74993097289,Canara Bank,"House 152, Model Town, Darrang",Darrang,PMKVY Skill Dev,16168.72,1998-06-02,9913075626,2021-10-24
187,Vinod Mukherjee,516560494519,83273158514,UCO Bank,"House 232, Model Town, Barpeta",Barpeta,PMKVY Skill Dev,13149.35,1998-11-23,9940244550,2024-09-01
188,Vinod Roy,354453451466,88658348348,Bank of Baroda,"House 678, Shantinagar, Allahabad",Allahabad,Ayushman Bharat,34471.14,1962-10-07,9267366485,2024-05-03
189,Meera Mishra,097669194896,29805682017,Punjab National Bank,"House 252, Bapunagar, Nagaon",Nagaon,MGNREGA,14222.91,1961-01-03,9966186957,2024-10-29
190,Vijay Yadav,388496965328,71012269166,UCO Bank,"House 480, Nehru Vihar, Dhubri",Dhubri,MGNREGA,6016.97,2000-03-21,9184514627,2025-09-01
191,Sunita Mukherjee,830099542887,34496686679,UCO Bank,"House 626, Nehru Vihar, Goalpara",Goalpara,Ayushman Bharat,16619.63,1999-10-12,9617069014,2022-03-15
192,Rekha Pandey,144301061445,29964574433,State Bank of India,"House 610, Model Town, Lucknow",Lucknow,PM-KISAN,228584.54,1958-04-17,9115333497,2024-10-05
193,Sanjay Verma,661237407794,33256238994,UCO Bank,"House 583, Rampur, Gorakhpur",Gorakhpur,NSP Scholarship,11961.04,1961-03-26,9014262037,2025-05-26
194,Rajan Kumar,549329668516,12275304637,Punjab National Bank,"House 977, Shantinagar, Goalpara",Goalpara,NSP Scholarship,5717.51,2000-03-23,9453017426,2021-11-02
195,Rekha Gupta,047676660828,87458712075,Bank of Baroda,"House 74, Bapunagar, Nagaon",Nagaon,PMKVY Skill Dev,420865.01,1981-12-13,9685931526,2024-12-19
196,Savita Mishra,610077017737,59493307811,State Bank of India,"House 453, Rampur, Dhubri",Dhubri,PM-KISAN,4294.94,1963-04-17,9004902144,2024-01-15
197,Anita Rani,883978570820,04806757123,Canara Bank,"House 577, Rampur, Kanpur",Kanpur,PM-KISAN,3198.22,1965-01-27,9112879429,2021-12-04
198,Rekha Singh,566036162486,07047266023,Punjab National Bank,"House 819, Rampur, Dhubri",Dhubri,PMKVY Skill Dev,12391.67,1968-06-28,9015301731,2023-04-25
199,Priya Rani,712661106273,71586988649,Canara Bank,"House 652, Gandhi Nagar, Gorakhpur",Gorakhpur,PMKVY Skill Dev,19958.14,1957-05-01,9622827728,2022-09-20
200,Lalita Tiwari,843770062795,95142954496,Canara Bank,"House 590, Shantinagar, Darrang",Darrang,PMKVY Skill Dev,11524.2,1917-07-24,9175627528,2025-08-23
201,Sanjay Tiwari,104332181960,79402654235,Canara Bank,"Plot No.1, Near Bus Stand, Main Road, Lucknow",Varanasi,NSAP Pension,5129.66,1980-04-10,9878052890,2021-12-27
202,Vinod Das,652404157473,38484219933,State Bank of India,"House 686, Nehru Vihar, Varanasi",Varanasi,NSP Scholarship,5031.04,1980-05-12,9016571208,2024-10-19
203,Anjali Das,264752864612,09617300992,UCO Bank,"House 925, Shantinagar, Dhubri",Dhubri,PM Awas Yojana,129462.15,1988-12-02,9403211535,2023-09-12
204,Usha Kumar,957992707955,15122946213,Punjab National Bank,"House 300, Bapunagar, Dhubri",Dhubri,MGNREGA,12513.38,1993-10-18,9597099625,2024-04-08
205,Kiran Kumar,774544708231,71461995394,Canara Bank,"House 898, Model Town, Varanasi",Varanasi,Ayushman Bharat,26866.29,1966-06-27,9626235960,2023-08-25
206,Kavita Devi,104332181960,79402654235,Punjab National Bank,"Plot No.1, Near Bus Stand, Main Road, Lucknow",Gorakhpur,PMKVY Skill Dev,12977.1,1962-03-08,9531708730,2025-05-21
207,Rajesh Tiwari,969357824347,76958741314,Canara Bank,"House 993, Gandhi Nagar, Nagaon",Nagaon,PM-KISAN,3301.59,1963-02-19,9127515627,2022-12-11
208,Lalita Kumar,203042322775,21353028165,State Bank of India,"House 417, Shantinagar, Nagaon",Nagaon,NSP Scholarship,6562.86,2000-12-28,9059377756,2022-05-29
209,Prakash Devi,574216435990,09378146047,Canara Bank,"House 755, Rampur, Lakhimpur",Lakhimpur,PMKVY Skill Dev,11523.2,1960-05-17,9884437066,2025-03-23
210,Anita Rani,679825071461,12545738757,State Bank of India,"House 449, Bapunagar, Varanasi",Varanasi,MGNREGA,11361.16,1972-08-21,9140105123,2022-10-17
211,Bharat Das,859026297611,66286603498,Bank of Baroda,"House 277, Model Town, Goalpara",Goalpara,NSP Scholarship,340823.97,1965-05-13,9896701656,2024-10-20
212,Savita Sharma,726282968244,85007288959,Bank of Baroda,"House 657, Bapunagar, Gorakhpur",Gorakhpur,NSP Scholarship,7202.34,1976-07-10,9116806919,2023-07-12
213,Rajesh Tiwari,510173973964,17899698609,State Bank of India,"House 605, Model Town, Gorakhpur",Gorakhpur,PM Awas Yojana,143808.0,1992-05-28,9911359966,2021-08-28
214,Ashok Sharma,794695489952,99787729343,State Bank of India,"House 122, Rampur, Allahabad",Allahabad,NSP Scholarship,7183.97,1990-09-02,9396605583,2025-08-15
215,Deepak Das,489008248458,13088983057,Punjab National Bank,"House 683, Model Town, Dhubri",Dhubri,PM-KISAN,4163.43,1979-12-29,9997418563,2025-08-09
216,Rajesh Kumar,754091508632,18122764579,Bank of Baroda,"House 941, Model Town, Goalpara",Goalpara,PM Awas Yojana,147107.41,1960-02-15,9015502916,2022-10-24
217,Anita Roy,043581128801,33613861207,Punjab National Bank,"House 39, Rampur, Kanpur",Kanpur,PMKVY Skill Dev,8878.98,1985-04-13,9481934667,2022-02-25
218,Usha Gupta,221905334704,74764845593,UCO Bank,"House 448, Shantinagar, Jorhat",Jorhat,Ayushman Bharat,12682.51,1980-06-16,9835071245,2021-08-07
219,Vijay Mishra,350271607360,77633691128,UCO Bank,"House 742, Nehru Vihar, Nagaon",Nagaon,Ayushman Bharat,10476.67,1982-06-11,9179556331,2022-11-04
220,Meera Patel,131845605993,42322109129,Punjab National Bank,"House 939, Shantinagar, Allahabad",Allahabad,MGNREGA,307994.16,1980-12-15,9141408783,2024-03-13
221,Deepak Sharma,839826224447,21264647154,Bank of Baroda,"House 739, Bapunagar, Goalpara",Goalpara,Ayushman Bharat,27311.11,1983-09-16,9712406596,2023-11-03
222,Meera Mishra,127943379531,11235904265,Bank of Baroda,"House 907, Gandhi Nagar, Goalpara",Goalpara,MGNREGA,12805.38,1987-11-19,9866251085,2022-11-27
223,Anjali Das,962690222097,79402654235,Punjab National Bank,"House 972, Shantinagar, Allahabad",Allahabad,NSAP Pension,4641.45,1965-04-30,9179067015,2021-11-19
224,Geeta Das,025239412094,47726903265,Punjab National Bank,"House 97, Krishnanagar, Jorhat",Jorhat,MGNREGA,14075.39,1959-01-21,9617948024,2023-10-02
225,Prakash Tiwari,627765725659,20246175202,Bank of Baroda,"House 526, Nehru Vihar, Barpeta",Barpeta,NSAP Pension,3880.5,1976-04-28,9326005595,2023-10-18
226,Leela Reddy,964235369378,54777252287,Bank of Baroda,"House 939, Nehru Vihar, Goalpara",Goalpara,PMKVY Skill Dev,19883.88,1995-12-25,9801006231,2021-09-20
227,Kiran Tiwari,901495427707,07057836091,Punjab National Bank,"House 919, Nehru Vihar, Jorhat",Jorhat,PM Awas Yojana,136543.44,1995-07-04,9724447232,2024-11-11
228,Sanjay Gupta,782079799667,34595764038,State Bank of India,"House 432, Gandhi Nagar, Sonitpur",Sonitpur,PM Awas Yojana,143222.17,1965-04-19,9902824983,2022-07-02
229,Vijay Reddy,632251742240,43261189003,Punjab National Bank,"House 392, Nehru Vihar, Allahabad",Allahabad,Ayushman Bharat,24422.95,1967-01-10,9307028672,2025-05-16
230,Bharat Mukherjee,477686342346,19942376769,Punjab National Bank,"House 836, Shantinagar, Kamrup",Kamrup,PM Awas Yojana,138687.33,1966-11-20,9639551720,2022-10-26
231,Lalita Devi,348640104246,24561851744,Canara Bank,"House 24, Rampur, Kanpur",Kanpur,NSAP Pension,5921.27,1971-11-06,9212899151,2025-02-25
232,Ashok Jha,849912165585,23986800025,Canara Bank,"House 532, Gandhi Nagar, Kamrup",Kamrup,Ayushman Bharat,11702.33,1988-09-16,9595269495,2022-11-04
233,Pushpa Singh,705549434368,77156922094,UCO Bank,"House 880, Rampur, Kanpur",Kanpur,PM Awas Yojana,134606.31,1979-08-19,9415359771,2025-05-26
234,Vinod Nath,324535279111,79402654235,State Bank of India,"House 709, Rampur, Varanasi",Varanasi,PMKVY Skill Dev,18932.53,1967-11-19,9184668985,2022-05-05
235,Santosh Verma,997645349655,15641967896,Bank of Baroda,"House 958, Bapunagar, Kamrup",Kamrup,NSAP Pension,1833.33,1996-10-12,9935820163,2025-06-22
236,Rekha Das,857606349429,04617551887,State Bank of India,"House 89, Model Town, Nagaon",Nagaon,Ayushman Bharat,43080.39,1984-04-24,9242024837,2023-12-17
237,Pushpa Devi,326389021994,71136337922,Bank of Baroda,"House 287, Rampur, Barpeta",Barpeta,PMKVY Skill Dev,8038.02,1973-07-29,9699673311,2023-05-25
238,Anita Verma,422410988138,58542493214,UCO Bank,"House 914, Shantinagar, Jorhat",Jorhat,NSAP Pension,4070.42,1996-09-12,9207016016,2023-06-28
239,Kiran Mukherjee,823846990867,23310448177,Bank of Baroda,"House 644, Gandhi Nagar, Barpeta",Barpeta,PM-KISAN,5424.31,1968-09-13,9561922188,2024-12-03
240,Vinod Patel,413351390143,09742749366,Bank of Baroda,"House 322, Gandhi Nagar, Nagaon",Nagaon,PMKVY Skill Dev,16547.21,1964-02-08,9714803007,2021-11-28
241,Mangala Mishra,303654145868,50142940196,Punjab National Bank,"House 747, Model Town, Goalpara",Goalpara,NSAP Pension,3117.44,1990-11-16,9693406088,2021-11-01
242,Rajesh Verma,299650826958,26418696561,Bank of Baroda,"House 16, Nehru Vihar, Sonitpur",Sonitpur,PM Awas Yojana,134457.87,1963-01-14,9123859514,2024-08-10
243,Ashok Devi,977790147546,92632967629,State Bank of India,"House 403, Bapunagar, Kanpur",Kanpur,MGNREGA,14348.25,1979-09-30,9248413768,2025-01-02
244,Priya Tiwari,104332181960,76128989930,Canara Bank,"House 288, Gandhi Nagar, Barpeta",Barpeta,PMKVY Skill Dev,18830.05,1990-10-08,9399799271,2022-02-18
245,Usha Roy,585126861205,94389760740,State Bank of India,"House 889, Gandhi Nagar, Gorakhpur",Gorakhpur,PM Awas Yojana,133807.52,1996-10-04,9954654084,2024-09-06
246,Vijay Jha,826137506068,53615305152,Bank of Baroda,"House 40, Shantinagar, Kanpur",Kanpur,MGNREGA,14008.75,1958-11-12,9277901043,2024-11-05
247,Anita Jha,434902115869,38068687937,Punjab National Bank,"House 81, Gandhi Nagar, Barpeta",Barpeta,PM Awas Yojana,147083.32,1998-02-19,9898992172,2024-09-30
248,Savita Pandey,018227200283,94823220414,Punjab National Bank,"House 499, Shantinagar, Goalpara",Goalpara,PM Awas Yojana,139645.01,1989-06-09,9811659930,2021-11-29
249,Pushpa Mukherjee,569847896118,36736576615,Canara Bank,"House 321, Bapunagar, Varanasi",Varanasi,NSP Scholarship,5294.01,1987-07-23,9711116152,2022-07-26
250,Ramesh Das,002302865505,22411420667,State Bank of India,"House 106, Shantinagar, Allahabad",Allahabad,MGNREGA,3904.65,1972-07-25,9992016633,2021-07-15
251,Anjali Roy,179890223790,06548708477,UCO Bank,"House 331, Bapunagar, Allahabad",Allahabad,MGNREGA,6113.88,1961-04-24,9675539818,2022-08-27
252,Deepak Yadav,405800851403,69656666832,Canara Bank,"House 143, Krishnanagar, Varanasi",Varanasi,PMKVY Skill Dev,14665.06,1968-12-05,9624220102,2021-08-22
253,Mangala Jha,786268527287,11615594078,Canara Bank,"House 30, Bapunagar, Goalpara",Goalpara,MGNREGA,5918.41,2000-09-07,9877834710,2023-05-29
254,Anjali Jha,104332181960,79402654235,Punjab National Bank,"Plot No.1, Near Bus Stand, Main Road, Lucknow",Kanpur,Ayushman Bharat,14265.42,1964-01-20,9399495940,2024-07-23
255,Rajan Iyer,270653794738,34735977468,UCO Bank,"House 429, Krishnanagar, Nagaon",Nagaon,MGNREGA,12802.69,1988-10-31,9407581814,2025-03-20
256,Suresh Rani,528183253817,93355486401,Punjab National Bank,"House 354, Gandhi Nagar, Dhubri",Dhubri,PMKVY Skill Dev,13834.72,1990-03-30,9788479513,2023-02-13
257,Bharat Reddy,788795312040,95437766183,State Bank of India,"House 716, Nehru Vihar, Kamrup",Kamrup,PM Awas Yojana,144131.73,1996-08-15,9018731439,2025-03-19
258,Deepak Nath,343925295961,11102867120,State Bank of India,"House 483, Krishnanagar, Varanasi",Varanasi,MGNREGA,3392.22,1975-02-08,9559102451,2025-06-20
259,Ashok Mishra,772702896660,53428164416,State Bank of India,"House 36, Rampur, Nagaon",Nagaon,NSAP Pension,4418.5,1959-10-26,9535846405,2024-12-27
260,Suresh Mukherjee,271721733739,92052229993,Canara Bank,"House 903, Krishnanagar, Kamrup",Kamrup,Ayushman Bharat,47990.39,1962-12-07,9591438823,2024-10-01
261,Vinod Mishra,777014363495,78856855744,Punjab National Bank,"House 237, Rampur, Sivasagar",Sivasagar,Ayushman Bharat,37457.79,1972-12-10,9182337498,2022-05-04
262,Rekha Pandey,080314998250,80046358068,UCO Bank,"House 870, Krishnanagar, Sivasagar",Sivasagar,PM Awas Yojana,135262.37,1997-03-28,9317235137,2024-07-11
263,Saroj Verma,411739348356,42087375300,State Bank of India,"House 929, Rampur, Gorakhpur",Gorakhpur,NSP Scholarship,10517.09,1956-12-03,9218114374,2024-03-16
264,Usha Iyer,627686127342,16184959310,State Bank of India,"House 787, Rampur, Lakhimpur",Lakhimpur,PMKVY Skill Dev,9808.85,1986-05-30,9913813014,2022-05-14
265,Anjali Sharma,555165176808,66281372143,Bank of Baroda,"House 58, Bapunagar, Nagaon",Nagaon,NSP Scholarship,9151.7,1999-01-29,9037003322,2022-11-17
266,Ashok Tiwari,781891371894,90580778795,Canara Bank,"House 362, Model Town, Allahabad",Allahabad,NSP Scholarship,5651.56,1986-03-23,9094940792,2022-06-22
267,Dinesh Reddy,904902787429,67175655125,Canara Bank,"House 711, Gandhi Nagar, Lakhimpur",Lakhimpur,NSP Scholarship,5593.96,1965-04-28,9807154516,2022-10-20
268,Anjali Das,196893135030,58721055247,Bank of Baroda,"House 856, Model Town, Gorakhpur",Gorakhpur,NSAP Pension,4116.3,1963-06-23,9333021260,2021-10-13
269,Pushpa Mukherjee,345150252854,61308730897,Bank of Baroda,"House 908, Bapunagar, Sivasagar",Sivasagar,Ayushman Bharat,42906.65,1960-04-12,9382777711,2021-06-04
270,Dinesh Roy,562641260848,18762099069,Bank of Baroda,"House 86, Nehru Vihar, Lucknow",Lucknow,PM Awas Yojana,144967.74,1979-09-04,9039951670,2023-12-11
271,Anjali Reddy,949013334437,67348140984,State Bank of India,"House 746, Rampur, Kanpur",Kanpur,NSP Scholarship,11595.12,1962-04-20,9793014811,2023-06-10
272,Leela Jha,410119470720,06425690877,Canara Bank,"House 414, Model Town, Lucknow",Lucknow,PM-KISAN,4911.07,1994-12-17,9830671985,2023-10-26
273,Dinesh Verma,678127782210,21798213486,Bank of Baroda,"House 587, Nehru Vihar, Lucknow",Lucknow,PM Awas Yojana,130204.13,1957-03-04,9973638318,2024-09-10
274,Vinod Verma,583746614477,61868704796,Canara Bank,"House 688, Bapunagar, Kamrup",Kamrup,PM-KISAN,5434.0,1966-11-08,9829052565,2022-04-27
275,Rekha Rani,885627480661,11111111111,State Bank of India,"House 708, Krishnanagar, Kamrup",Kamrup,Ayushman Bharat,45730.19,1989-06-21,9030695165,2022-12-08
276,Prakash Roy,065405153195,20585277221,Canara Bank,"House 38, Shantinagar, Barpeta",Barpeta,Ayushman Bharat,14071.59,1983-05-10,9054868740,2021-06-18
277,Suresh Rani,970255128276,36431594898,UCO Bank,"House 782, Shantinagar, Jorhat",Jorhat,MGNREGA,10340.69,1969-12-20,9466345443,2023-12-18
278,Vinod Ghosh,390624672879,91609114131,UCO Bank,"House 918, Model Town, Gorakhpur",Gorakhpur,Ayushman Bharat,49739.95,1978-12-23,9592361337,2021-08-26
279,Vinod Roy,404207675149,75341157330,UCO Bank,"House 603, Rampur, Dhubri",Dhubri,Ayushman Bharat,40494.49,1997-01-28,9940656582,2024-04-30
280,Ashok Mukherjee,043416518275,53942373334,Bank of Baroda,"House 235, Krishnanagar, Sivasagar",Sivasagar,PM Awas Yojana,145048.21,1969-04-23,9211179080,2022-12-25
281,Dinesh Iyer,240658387272,58122590956,Canara Bank,"House 777, Nehru Vihar, Varanasi",Varanasi,NSAP Pension,2983.34,1978-05-26,9823733791,2024-08-22
282,Priya Roy,475580309016,85647177840,State Bank of India,"House 986, Nehru Vihar, Gorakhpur",Gorakhpur,NSP Scholarship,3334.82,1959-10-01,9169883716,2025-02-28
283,Santosh Singh,675493934396,90453925287,UCO Bank,"House 711, Krishnanagar, Varanasi",Varanasi,MGNREGA,7012.49,1983-06-23,9381330734,2023-10-11
284,Savita Das,015343324913,57790833506,State Bank of India,"House 975, Shantinagar, Nagaon",Nagaon,Ayushman Bharat,27833.74,1976-11-23,9888107983,2024-04-24
285,Ramesh Devi,536291714854,16184959310,State Bank of India,"House 573, Krishnanagar, Jorhat",Jorhat,PM Awas Yojana,138727.97,1986-11-09,9525207882,2021-05-05
286,Rajesh Reddy,500741894854,32987698936,Punjab National Bank,"House 135, Nehru Vihar, Kamrup",Kamrup,NSAP Pension,2879.78,1958-11-20,9161982734,2022-09-01
287,Ramesh Singh,734293907737,29545038016,Bank of Baroda,"House 344, Nehru Vihar, Allahabad",Allahabad,NSAP Pension,5969.79,1991-05-22,9502045028,2025-02-27
288,Saroj Roy,024629960653,07450544471,Bank of Baroda,"House 138, Shantinagar, Dhubri",Dhubri,PMKVY Skill Dev,19690.63,1961-07-01,9546913736,2021-07-13
289,Ramesh Rani,057397691567,16493289802,Canara Bank,"House 816, Rampur, Darrang",Darrang,PM Awas Yojana,129040.45,1959-05-16,9271783332,2021-06-18
290,Usha Iyer,431142626551,10475412126,Canara Bank,"House 571, Nehru Vihar, Sivasagar",Sivasagar,PM-KISAN,4049.76,1991-12-26,9015819956,2025-08-13
291,Savita Tiwari,614707986321,06133943945,Canara Bank,"House 56, Bapunagar, Lakhimpur",Lakhimpur,PM Awas Yojana,138783.53,1978-08-12,9380403253,2022-11-19
292,Kiran Yadav,731868302915,85423324165,State Bank of India,"House 564, Shantinagar, Sonitpur",Sonitpur,NSP Scholarship,8641.46,1978-06-09,9839660734,2024-01-19
293,Meera Reddy,900479412325,16184959310,Punjab National Bank,"House 417, Rampur, Dhubri",Dhubri,PMKVY Skill Dev,9036.13,1993-06-13,9134348571,2024-07-21
294,Deepak Yadav,999466450999,90010898573,UCO Bank,"House 18, Nehru Vihar, Lakhimpur",Lakhimpur,NSAP Pension,5604.87,1970-09-18,9211896844,2024-09-24
295,Sunita Singh,740433689579,79402654235,Canara Bank,"House 464, Bapunagar, Dhubri",Dhubri,NSP Scholarship,4365.0,1974-11-26,9610511090,2025-05-26
296,Saroj Mukherjee,354116597263,47557522501,Bank of Baroda,"House 596, Shantinagar, Jorhat",Jorhat,PM Awas Yojana,147264.91,1974-09-04,9882691311,2021-09-11
297,Mangala Gupta,442043805719,83863840666,Punjab National Bank,"House 990, Nehru Vihar, Goalpara",Goalpara,NSAP Pension,2025.97,1978-09-14,9397359893,2021-05-02
298,Vijay Reddy,125652373415,17734547574,UCO Bank,"House 282, Nehru Vihar, Nagaon",Nagaon,NSAP Pension,1950.13,1988-09-08,9284035954,2023-12-19
299,Vijay Patel,018718637599,80562656504,Punjab National Bank,"House 360, Shantinagar, Kanpur",Kanpur,NSAP Pension,5905.6,1993-05-23,9376742662,2022-05-24
300,Kiran Das,602865383957,16468210037,State Bank of India,"House 852, Model Town, Varanasi",Varanasi,Ayushman Bharat,38716.85,1917-05-23,9070378088,2021-06-21
301,Dinesh Sharma,588218708941,07911611464,Punjab National Bank,"House 391, Bapunagar, Dhubri",Dhubri,PM-KISAN,4598.54,1933-12-25,9983097542,2021-08-01
302,Prakash Ghosh,099693084887,25639427881,Canara Bank,"House 373, Nehru Vihar, Kamrup",Kamrup,PM-KISAN,2042.37,1979-10-27,9928272299,2021-12-27
303,Mangala Gupta,059685195377,49266329563,Punjab National Bank,"House 190, Gandhi Nagar, Dhubri",Dhubri,PM-KISAN,5685.13,1958-09-17,9522592061,2023-06-13
304,Kiran Gupta,357155868639,56137230817,Bank of Baroda,"House 938, Rampur, Goalpara",Goalpara,PMKVY Skill Dev,16339.25,1973-09-30,9364381300,2025-07-06
305,Priya Jha,118954738202,36848557161,Canara Bank,"House 430, Nehru Vihar, Darrang",Darrang,MGNREGA,14175.99,1999-04-16,9294240903,2021-07-14
306,Geeta Kumar,371705865094,80141381138,Canara Bank,"House 195, Krishnanagar, Varanasi",Varanasi,NSP Scholarship,7735.73,1978-12-07,9928861957,2021-09-30
307,Meera Devi,394607429907,47296694179,UCO Bank,"House 406, Gandhi Nagar, Varanasi",Varanasi,MGNREGA,3259.12,2000-11-26,9897474859,2022-06-26
308,Vinod Patel,858050141716,57893912956,Punjab National Bank,"House 821, Rampur, Goalpara",Goalpara,PM-KISAN,4137.53,1961-08-26,9114860050,2025-08-30
309,Rekha Ghosh,235784521823,07681040915,Canara Bank,"House 911, Rampur, Barpeta",Barpeta,NSAP Pension,2233.03,1973-03-20,9094353344,2022-09-13
310,Saroj Yadav,758955168740,90380214629,Canara Bank,"House 875, Rampur, Sivasagar",Sivasagar,NSAP Pension,2736.82,1959-10-12,9157787112,2021-08-01
311,Kiran Jha,296590277167,01450899358,UCO Bank,"House 705, Bapunagar, Kanpur",Kanpur,PMKVY Skill Dev,15418.87,1962-06-02,9375628900,2022-01-29
312,Usha Nath,432239461212,89811594853,Punjab National Bank,"House 17, Rampur, Darrang",Darrang,Ayushman Bharat,36491.15,1984-11-18,9762239847,2024-01-02
313,Pushpa Sharma,969395787520,70204262019,Canara Bank,"House 99, Krishnanagar, Goalpara",Goalpara,PM-KISAN,4915.86,1993-03-12,9241393696,2023-02-03
314,Ashok Roy,993844404588,31141470123,Punjab National Bank,"House 872, Rampur, Lucknow",Lucknow,PM-KISAN,2793.81,1961-06-03,9156891097,2023-02-28
315,Vinod Rani,578002443236,22169069685,Canara Bank,"House 266, Gandhi Nagar, Allahabad",Allahabad,NSP Scholarship,8997.44,1999-06-19,9675169139,2023-08-23
316,Prakash Jha,134936183242,10249947174,Canara Bank,"House 966, Shantinagar, Goalpara",Goalpara,NSP Scholarship,7504.25,1956-12-13,9719065940,2025-03-04
317,Savita Gupta,567871888223,78870584168,State Bank of India,"House 394, Bapunagar, Nagaon",Nagaon,NSAP Pension,2123.55,1983-04-25,9495647998,2024-03-01
318,Sanjay Yadav,473107201137,98440971231,Canara Bank,"House 695, Gandhi Nagar, Barpeta",Barpeta,PM-KISAN,2119.59,1956-08-16,9676209014,2021-09-15
319,Rekha Mishra,940598026029,44203158925,UCO Bank,"House 288, Nehru Vihar, Varanasi",Varanasi,PM Awas Yojana,145245.95,1999-09-04,9734203197,2021-12-16
320,Deepak Gupta,873342708668,82634351751,UCO Bank,"House 742, Model Town, Nagaon",Nagaon,PM Awas Yojana,125714.45,1977-03-02,9699013983,2022-12-31
321,Mohan Yadav,240053922205,62019011348,Punjab National Bank,"House 215, Krishnanagar, Gorakhpur",Gorakhpur,MGNREGA,9910.51,1983-12-27,9325286132,2024-04-27
